created,text,retwc,hashtag,followers,friends
2017-12-06 14:54:21,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,1667,339
2017-12-06 14:54:19,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,8143,1920
2017-12-06 14:54:18,b'RT @NewsNationTV: #NewsNationGroundZeroPollSurvey 13% people feel that the issues of Demonetisation and GST will harm #BJP while 20% think\xe2\x80\xa6',1,NewsNationGroundZeroPollSurvey,608,5002
2017-12-06 14:54:10,b'RT @INC_amiwithRG: Now dont ask where is #BlackMoney and benifits of #Demonetisation \xf0\x9f\x91\x89everything looted and making wave in election.\n@Offic\xe2\x80\xa6',15,BlackMoney,47899,2481
2017-12-06 14:54:09,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,964,1179
2017-12-06 14:54:09,b'#NewsNationGroundZeroPollSurvey 13% people feel that the issues of Demonetisation and GST will harm #BJP while 20%\xe2\x80\xa6 https://t.co/y7VwlJgtm6',1,NewsNationGroundZeroPollSurvey,74945,360
2017-12-06 14:54:08,b'RT @iScrew: 20. ignored their difficulties after demonetisation and GST. Rajkot Market Yard has long been lobbying with Rupani government f\xe2\x80\xa6',26,None,458,1040
2017-12-06 14:53:00,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,496,1221
2017-12-06 14:52:41,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,2837,324
2017-12-06 14:52:13,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,379,1179
2017-12-06 14:51:10,"b'RT @pawanbansal_chd: Despite voting for their own CM as PM of India, Gujaratis got nothing in return except terribly exacting and harassmen\xe2\x80\xa6'",17,None,4,19
2017-12-06 14:50:55,b'@A7ZATRU Surprised they havent showed the demonetisation in there... lel',0,None,3305,251
2017-12-06 14:50:18,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,1152,246
2017-12-06 14:49:37,b'RBI should tell people about benefits of demonetisation: Venkaiah Naidu https://t.co/r1dacudhDU',0,None,1635,92
2017-12-06 14:49:34,b'Election time hai sir !!  Yeh PM zara hat kar hain ; everything thing he does is driven by motive to win elections.\xe2\x80\xa6 https://t.co/6I1BIAl236',0,None,140,130
2017-12-06 14:49:34,b'RT @INCHaryana: INC VP visited the textile and diamond industries in Surat on Nov 8th and spoke to people who work there. The people compla\xe2\x80\xa6',176,None,317,420
2017-12-06 14:49:22,b'RT @INC_amiwithRG: Now dont ask where is #BlackMoney and benifits of #Demonetisation \xf0\x9f\x91\x89everything looted and making wave in election.\n@Offic\xe2\x80\xa6',15,BlackMoney,731,197
2017-12-06 14:48:29,b'Passengers at Delhi aiport are swiping credit card and preferring \xe0\xa4\xad\xe0\xa5\x87\xe0\xa4\xb3 \xf0\x9f\xa4\x97\xe0\xa4\x86\xe0\xa4\xa4\xe0\xa4\xbe \xe0\xa4\x96\xe0\xa4\xb0\xe0\xa5\x87 demonetisation \xe0\xa4\x9d\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa5\x87 \xe0\xa4\x85\xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\x9f\xe0\xa4\xb2\xe0\xa5\x87\xf0\x9f\x91\x8f https://t.co/eFN3M3Tt25',0,None,2937,27
2017-12-06 14:48:04,b'RT @NewsNationTV: #NewsNationGroundZeroPollSurvey 4% people will give their votes on the basis of Demonetisation \n@pshunglu',3,NewsNationGroundZeroPollSurvey,6120,413
2017-12-06 14:47:40,"b'RT @OfficeOfRG: Demonetisation is a tragedy. We stand with millions of honest Indians, whose lives &amp; livelihoods were destroyed by PM\xe2\x80\x99s tho\xe2\x80\xa6'",13114,None,0,1
2017-12-06 14:47:39,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,380,171
2017-12-06 14:47:27,b'RT @INC_amiwithRG: Now dont ask where is #BlackMoney and benifits of #Demonetisation \xf0\x9f\x91\x89everything looted and making wave in election.\n@Offic\xe2\x80\xa6',15,BlackMoney,539,936
2017-12-06 14:47:23,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,1059,491
2017-12-06 14:47:02,b'Person Of The Year should be Narendra Modi @narendramodi  in India who is taking bold decisions like\xe2\x80\xa6 https://t.co/s5vxwg8PGR',0,None,1390,1998
2017-12-06 14:45:42,b'RT @NewsNationTV: #NewsNationGroundZeroPollSurvey 4% people will give their votes on the basis of Demonetisation \n@pshunglu',3,NewsNationGroundZeroPollSurvey,608,5002
2017-12-06 14:45:25,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,260,320
