created,text,retwc,hashtag,followers,friends
2017-12-06 14:59:44,"b'@askGST_GoI @GST_Council @arunjaitley  As we trying submit our returns and amendment in our credentials at gst portal,lot of problems occurs'",0,None,36,26
2017-12-06 14:59:42,"b'@RailMinIndia BUT to my surprise, the GST part i.e. Rs195 was deducted and not returned. May I know why the GST amo\xe2\x80\xa6 https://t.co/XfbDuxoCkT'",0,None,9,83
2017-12-06 14:59:42,b'RT @news24tvchannel: #GujaratManthan : Rahul has lost all elections still is being rewarded with a promotion. \nGST is being fine tuned afte\xe2\x80\xa6',14,GujaratManthan,6,58
2017-12-06 14:59:38,b'RT @varun18vijay: RT @EconomicTimes: The regulator is likely to push for lower #GST rates for affordable housing category especially althou\xe2\x80\xa6',2,GST,70,4104
2017-12-06 14:59:38,"b'RT @thelogicalman2: @KapilSibal ji our PM never check facts that is why farmers, umployed youth , small scale industrialists, every middle\xe2\x80\xa6'",4,None,84,431
2017-12-06 14:59:37,"b'RT @thelogicalman2: @KapilSibal ji our PM never check facts that is why farmers, umployed youth , small scale industrialists, every middle\xe2\x80\xa6'",4,None,5751,346
2017-12-06 14:59:34,b'RT @varun18vijay: RT @EconomicTimes: The regulator is likely to push for lower #GST rates for affordable housing category especially althou\xe2\x80\xa6',2,GST,66,5001
2017-12-06 14:59:24,"b""Here's how to complain about firms not passing on GST benefits https://t.co/GEaRR70WLZ https://t.co/S5FYbAdvSu""",0,None,569,81
2017-12-06 14:59:24,b'RT @Haaris95: @OfficeOfRG When vikas fails\nWhen casteism fails\nWhen soldier fails\nWhen cow fails\nWhen demonetisation fails\nWhen GST fails\nW\xe2\x80\xa6',18,None,5,47
2017-12-06 14:59:21,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",217,None,357,1594
2017-12-06 14:59:08,b'RT @NewsNationTV: #NewsNationGroundZeroPollSurvey 13% people feel that the issues of Demonetisation and GST will harm #BJP while 20% think\xe2\x80\xa6',4,NewsNationGroundZeroPollSurvey,204,1844
2017-12-06 14:59:08,"b""Here's how to complain about firms not passing on GST benefits https://t.co/GEaRR70WLZ""",0,None,569,81
2017-12-06 14:59:05,"b'RT @GstPractitioner: SC, held, a certificate issued by the Gram Panchayat secretary or the executive magistrate by itself was \xe2\x80\x9cno proof of\xe2\x80\xa6'",3,None,84,82
2017-12-06 14:59:04,"b'RT @GstPractitioner: SC, while expressing concern over growing commercialization of legal profession with lawyers demanding ""astronomical""\xe2\x80\xa6'",1,None,84,82
2017-12-06 14:59:02,b'RT @GstPractitioner: Supreme Court has held that a fee amount claim by a lawyer based on percentage of subject matter in litigation cannot\xe2\x80\xa6',5,None,84,82
2017-12-06 14:59:00,b'RT @GstPractitioner: Delhi High Court has observed that merely playing rummy with small stakes in a club would not amount to gambling.\n\n#GS\xe2\x80\xa6',4,None,84,82
2017-12-06 14:58:59,b'RT @GstPractitioner: Delhi HC dismissed a petition demanding an order restraining all television service providers from telecasting any mov\xe2\x80\xa6',5,None,84,82
2017-12-06 14:58:57,b'RT @GstPractitioner: Allahabad High Court has upheld the acquisition of land by the State for the purpose of building the Delhi Meerut Expr\xe2\x80\xa6',5,None,84,82
2017-12-06 14:58:56,b'@arunjaitley @narendramodi request you to waive off or remove GST on mediclaim policies for senior citizens',0,None,58,162
2017-12-06 14:58:55,"b'RT @GstPractitioner: Punjab and Haryana High Court has turned down an appeal for a CBI probe into the murder of 15-year-old Junaid Khan, wh\xe2\x80\xa6'",4,None,84,82
2017-12-06 14:58:48,b'RT @priyankac19: Agree people of Gujarat are pragmatic&amp;calculative but they also understand that despite sending their own man as the PM of\xe2\x80\xa6',301,None,2585,933
2017-12-06 14:58:46,"b'@RailMinIndia It being talkal I expected the refund of the total amount of Rs4500. BUT to my surprise, the GST part\xe2\x80\xa6 https://t.co/VnwcTGXDLu'",0,None,9,83
2017-12-06 14:58:35,"b'RT @thelogicalman2: @KapilSibal ji our PM never check facts that is why farmers, umployed youth , small scale industrialists, every middle\xe2\x80\xa6'",4,None,1949,3329
2017-12-06 14:58:33,b'@dan_gst @kotlin @intelliyole Thanks!',0,None,35,209
2017-12-06 14:58:27,b'RT @DilliDurAst: I don\xe2\x80\x99t know who\xe2\x80\x99s winning Gujarat but I can tell you I have met more people complaining about notebandi here in a day tha\xe2\x80\xa6',61,None,223,1238
2017-12-06 14:58:09,"b'RT @klaroia: They got Votes, Power, Chair all coz of Citizens But What they did in Return for Citizens is Nothing but Raised prices of comm\xe2\x80\xa6'",30,None,84,82
2017-12-06 14:58:07,b'RT @satishdangiy: @DoPTGoI @narendramodi look at ssc and se failure of your no interview policy implementation and suffering of cadidates.\xe2\x80\xa6',14,None,6,8
2017-12-06 14:58:00,"b'RT @CAChirag: Next proposed changes in #GST : Composite Scheme for service provider, defer E way bill till 2019, abolish reverse charge, si\xe2\x80\xa6'",8,GST,357,2188
2017-12-06 14:57:51,b'@jayantsinha What about GST on sanitary napkins?',0,None,19,171
2017-12-06 14:57:48,b'RT @priyankac19: Agree people of Gujarat are pragmatic&amp;calculative but they also understand that despite sending their own man as the PM of\xe2\x80\xa6',301,None,7719,474
2017-12-06 14:57:45,b'RT @satishdangiy: @Swamy39 @DoPTGoI @narendramodi look at ssc and se failure of your no interview policy implementation and suffering of ca\xe2\x80\xa6',13,None,6,8
